epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,32209.3,0.50413,0.34127,0.86143,0.96557,0.95943,0.98392,0.91214,0.41668,0.27344,0.82163,0.005842,0.005842,0.005842
44,1197.68,0.46855,0.31238,0.84984,0.97537,0.95667,0.99069,0.92172,0.40902,0.25756,0.8206,0.005743,0.005743,0.005743
45,4796.73,0.47697,0.31836,0.85136,0.97134,0.92075,0.95278,0.88515,0.40174,0.26213,0.81926,0.005644,0.005644,0.005644
46,1275.72,0.42616,0.28184,0.83737,0.97176,0.95211,0.98165,0.91011,0.40913,0.26374,0.82232,0.005545,0.005545,0.005545
47,1290.7,0.39592,0.26395,0.82946,0.96381,0.96693,0.98971,0.91806,0.4081,0.25917,0.82065,0.005446,0.005446,0.005446
48,3805.67,0.44527,0.29218,0.84129,0.96052,0.95325,0.97571,0.90684,0.40406,0.26041,0.81872,0.005347,0.005347,0.005347
49,6806.14,0.46988,0.31596,0.85041,0.9658,0.96465,0.98993,0.92077,0.39858,0.26343,0.81777,0.005248,0.005248,0.005248
50,10431.5,0.47233,0.31037,0.8496,0.96912,0.93387,0.95952,0.89551,0.39862,0.25815,0.81852,0.005149,0.005149,0.005149
1,2206.1,0.48823,0.33609,0.86452,0.96162,0.91639,0.95552,0.86647,0.45181,0.30107,0.83265,0.000665852,0.000665852,0.000665852
1,1198.37,0.44809,0.30291,0.8533,0.97694,0.93311,0.98109,0.89109,0.46422,0.30322,0.83823,0.000665852,0.000665852,0.000665852
2,2406.02,0.54832,0.39409,0.8817,0.96941,0.92475,0.97446,0.87358,0.47118,0.33412,0.84096,0.00128855,0.00128855,0.00128855
3,5751.5,0.55663,0.40813,0.8838,0.96486,0.91026,0.96861,0.86157,0.49081,0.36629,0.84547,0.00186724,0.00186724,0.00186724
4,7007.43,0.57024,0.41014,0.88632,0.95366,0.94426,0.97776,0.88784,0.45865,0.33009,0.83827,0.001802,0.001802,0.001802
5,8714.56,0.56397,0.40752,0.88464,0.95649,0.94362,0.97653,0.87371,0.49148,0.32446,0.84434,0.001736,0.001736,0.001736
6,1305.19,0.58419,0.41074,0.9036,0.96115,0.93767,0.97724,0.87253,0.49596,0.31823,0.84812,0.00167,0.00167,0.00167
7,2686.24,0.5577,0.39888,0.88917,0.95993,0.93868,0.97896,0.88495,0.45953,0.31178,0.83879,0.001604,0.001604,0.001604
8,3742.66,0.55804,0.38729,0.88951,0.95533,0.95359,0.98373,0.89638,0.44853,0.30276,0.84008,0.001538,0.001538,0.001538
9,4790.37,0.55003,0.37642,0.88928,0.96089,0.94499,0.98249,0.89583,0.46156,0.30753,0.83764,0.001472,0.001472,0.001472
